book,order,heading_id,section_type,title,heading_text,pov,word_count,pc1,pc2
The Way of Kings,87,chapter_71,chapter,Recorded in Blood,Chapter 71: Recorded in Blood,Szeth,2559,0.0007661900959760455,-0.005164939390229516
The Way of Kings,88,chapter_72,chapter,Veristitalian,Chapter 72: Veristitalian,Shallan,802,0.0034704557190823365,-0.029065166155297452
The Way of Kings,89,chapter_73,chapter,Trust,Chapter 73: Trust,Kaladin,3406,-0.01315973395541825,0.013866553002493866
The Way of Kings,90,chapter_74,chapter,Ghostblood,Chapter 74: Ghostblood,Shallan,934,0.019747020657133015,-0.004999622705552849
The Way of Kings,91,chapter_75,chapter,In the Top Room,Chapter 75: In the Top Room,Dalinar,1982,-0.0014119333847713324,-0.016360734926793033
The Way of Kings,92,epilogue,epilogue,Of Most Worth,Epilogue: Of Most Worth,Wit,1598,-0.006750475500976703,-0.002761492997231133
Words of Radiance,1,prologue,prologue,To Question,Prologue: To Question,Jasnah,5263,0.013832397592689092,0.0027386485474435404
Words of Radiance,3,chapter_1,chapter,Santhid,Chapter 1: Santhid,Shallan,7916,0.0033394192683200512,-0.00811570549304086
Words of Radiance,4,chapter_2,chapter,Bridge Four,Chapter 2: Bridge Four,Kaladin,5481,-0.019802316382231636,0.021573988158371693
Words of Radiance,5,chapter_3,chapter,Pattern,Chapter 3: Pattern,Shallan,2877,-0.002603858617203784,-0.01969438505209994
Words of Radiance,6,chapter_4,chapter,Taker of Secrets,Chapter 4: Taker of Secrets,Dalinar,4297,-0.007017566977583821,-0.004994960200956937
Words of Radiance,7,chapter_5,chapter,Ideals,Chapter 5: Ideals,Kaladin,8494,-0.005820277272841635,0.008534166165566189
Words of Radiance,8,chapter_6,chapter,Terrible Destruction,Chapter 6: Terrible Destruction,Shallan,4430,0.0019975875819770216,-0.01423124088602414
Words of Radiance,9,chapter_7,chapter,Open Flame,Chapter 7: Open Flame,Shallan,2253,-0.004902033410068619,-0.0005519441009013038
Words of Radiance,10,chapter_8,chapter,Knives in the Back • Soldiers on the Field,Chapter 8: Knives in the Back • Soldiers on the Field,Dalinar,2653,-0.01771609806022628,0.014511138520448733
Words of Radiance,11,chapter_9,chapter,Walking the Grave,Chapter 9: Walking the Grave,Kaladin,3036,-0.011333779656968516,-0.002790039618324807
Words of Radiance,13,chapter_11,chapter,An Illusion of Perception,Chapter 11: An Illusion of Perception,Shallan,4103,-0.00478343358305183,-0.00893968684021949
Words of Radiance,14,chapter_12,chapter,Hero,Chapter 12: Hero,Kaladin,4573,-0.011104669018794684,-0.00010453896274153478
Words of Radiance,15,interlude_1,interlude,,Interlude I-1,Eshonai,3511,-0.008723069306121118,-0.020524540869452684
Words of Radiance,16,interlude_2,interlude,,Interlude I-2,Ym,2966,-0.0029752147250106287,-0.010312025229373994
Words of Radiance,17,interlude_3,interlude,,Interlude I-3,Rysn,7563,-0.004177268576403383,-0.009676223650126587
Words of Radiance,18,interlude_4,interlude,,Interlude I-4,Eshonai,4197,-0.0020461122591893762,-0.021796476314641967
Words of Radiance,20,chapter_13,chapter,The Day's Masterpiece,Chapter 13: The Day's Masterpiece,Shallan,2749,0.0029113944732185046,-0.012350367587647086
Words of Radiance,21,chapter_14,chapter,Ironstance,Chapter 14: Ironstance,Adolin,2942,0.008693565830419636,0.00501261322083583
Words of Radiance,22,chapter_15,chapter,A Hand with the Tower,Chapter 15: A Hand with the Tower,Shallan,2267,-0.007951269578512983,-0.009554335268458149
Words of Radiance,23,chapter_16,chapter,Swordmaster,Chapter 16: Swordmaster,Kaladin,4483,-0.006954120971898238,0.00745036016991612
Words of Radiance,24,chapter_17,chapter,A Pattern,Chapter 17: A Pattern,Shallan,4854,-0.004092974062584349,-0.014300576363582927
Words of Radiance,25,chapter_18,chapter,Bruises,Chapter 18: Bruises,Kaladin,3888,-0.008373769925185187,0.005966046575246947
Words of Radiance,26,chapter_19,chapter,Safe Things,Chapter 19: Safe Things,Shallan,1449,0.051735171569595576,0.016224515267189113
Words of Radiance,27,chapter_20,chapter,The Coldness of Clarity,Chapter 20: The Coldness of Clarity,Shallan,2887,-0.009192239305872004,-0.0015687686081196463
Words of Radiance,28,chapter_21,chapter,Ashes,Chapter 21: Ashes,Shallan,2387,-0.007230518311906086,-0.0037485196908677745
Words of Radiance,29,chapter_22,chapter,Lights in the Storm,Chapter 22: Lights in the Storm,Kaladin,4506,-0.009816399231539128,0.01021746778851483
Words of Radiance,30,chapter_23,chapter,Assassin,Chapter 23: Assassin,Kaladin,1935,-0.010674220205138954,0.0028999275601721405
Words of Radiance,31,chapter_24,chapter,Tyn,Chapter 24: Tyn,Shallan,4385,-0.002254132448396447,-0.009954352929976627
Words of Radiance,32,chapter_25,chapter,Monsters,Chapter 25: Monsters,Kaladin,4373,-0.007915315361179927,0.0007079016801528072
Words of Radiance,33,chapter_26,chapter,The Feather,Chapter 26: The Feather,Adolin,3817,-0.0008879170634164478,0.010592665300084363
Words of Radiance,34,chapter_27,chapter,Fabrications to Distract,Chapter 27: Fabrications to Distract,Shallan,866,0.04002391820641619,0.00809659452880064
Words of Radiance,35,chapter_28,chapter,Boots,Chapter 28: Boots,Shallan,2878,-0.005821493036491234,0.0008715970093399895
Words of Radiance,36,chapter_29,chapter,Rule of Blood,Chapter 29: Rule of Blood,Sadeas,3213,-0.004820613573087395,0.00443323109531162
Words of Radiance,37,chapter_30,chapter,Nature Blushing,Chapter 30: Nature Blushing,Shallan,2639,0.0019133583926277738,-0.008202482840271938
Words of Radiance,38,chapter_31,chapter,The Stillness Before,Chapter 31: The Stillness Before,Shallan,2313,-0.013091204613640122,0.010833224126500894
Words of Radiance,39,chapter_32,chapter,The One Who Hates,Chapter 32: The One Who Hates,Kaladin,3367,-0.004664493587484031,0.0030485940651146827
Words of Radiance,40,chapter_33,chapter,Burdens,Chapter 33: Burdens,Kaladin,2986,-0.008202759775962519,0.006472104356406979
Words of Radiance,41,chapter_34,chapter,Blossoms and Cake,Chapter 34: Blossoms and Cake,Shallan,2816,-0.00042109740260695125,-0.002894042194410927
Words of Radiance,42,interlude_5,interlude,,Interlude I-5,Eshonai,1379,-0.010352635180275646,-0.01893093282986424
Words of Radiance,44,interlude_7,interlude,,Interlude I-7,Talk,915,0.00022054770533196357,-0.01619023925899502
Words of Radiance,45,interlude_8,interlude,,Interlude I-8,Eshonai,604,-0.012873147391700647,-0.034226644155914664
Words of Radiance,47,chapter_35,chapter,The Multiplied Strain of Simultaneous Infusion,Chapter 35: The Multiplied Strain of Simultaneous Infusion,Adolin,4703,0.0020962227144117225,-0.001806362806457432
Words of Radiance,48,chapter_36,chapter,A New Woman,Chapter 36: A New Woman,Shallan,4685,-0.004244440024346709,0.0023114755704931166
Words of Radiance,49,chapter_37,chapter,A Matter of Perspective,Chapter 37: A Matter of Perspective,Adolin,2673,0.01892541517150984,0.016549181657345216
Words of Radiance,50,chapter_38,chapter,The Silent Storm,Chapter 38: The Silent Storm,Shallan,5446,0.0028989760370500047,-0.00037420390991470476
Words of Radiance,51,chapter_39,chapter,Heterochromatic,Chapter 39: Heterochromatic,Shallan,3022,0.073573247407719,0.03099241922408993
Words of Radiance,52,chapter_40,chapter,Palona,Chapter 40: Palona,Shallan,2179,0.0005801727532201938,-0.006306107126447617
Words of Radiance,53,chapter_41,chapter,Scars,Chapter 41: Scars,Kaladin,5624,-0.01034991212175164,0.010553875911018668
Words of Radiance,54,chapter_42,chapter,Mere Vapors,Chapter 42: Mere Vapors,Shallan,2509,-0.00021084252644313638,-0.010777596767436948
Words of Radiance,55,chapter_43,chapter,The Ghostbloods,Chapter 43: The Ghostbloods,Shallan,5461,-0.0008153133065852891,-0.007645387791305411
Words of Radiance,56,chapter_44,chapter,One Form of Justice,Chapter 44: One Form of Justice,Kaladin,5591,-0.007483060485261442,0.003223827609095669
Words of Radiance,57,chapter_45,chapter,Middlefest,Chapter 45: Middlefest,Shallan,6680,0.03678613043466827,0.01616988192778882
Words of Radiance,58,chapter_46,chapter,Patriots,Chapter 46: Patriots,Kaladin,6708,-0.010990565657907292,0.007477629736080319
Words of Radiance,59,chapter_47,chapter,Feminine Wiles,Chapter 47: Feminine Wiles,Shallan,3631,-0.00017369554032433082,-0.011300920699197952
