topic_id,label,top_words,total_count,is_catchall,is_outlier
-1,Unclassified,,11130,False,True
92,"#92: shell, fish, ship",shell|fish|ship|rope|ocean|creature|beast|tiny|claimed|sea,18,False,False
93,"#93: brightness, stay, trip",brightness|stay|trip|jah|smile|king|guided|read|shook|city,18,False,False
95,"#95: horse, plateau, ride",horse|plateau|ride|swung|charged|handed|guards|crossed|grabbed|approached,17,False,False
98,"#98: silent, staring, ground",silent|staring|ground|hunting|thoughtful|shame|slipping|nearly|balance|trembling,17,False,False
97,"#97: surface, fish, sea",surface|fish|sea|buildings|water|live|visit|send|cold|claimed,17,False,False
96,"#96: axehound, legs, shell",axehound|legs|shell|holes|creature|fun|shells|arms|harder|coward,17,False,False
100,"#100: freedom, spren, speaking",freedom|spren|speaking|echoed|allowing|hero|practicing|excellent|flowing|hint,16,False,False
94,"#94: new, idiot, rider",new|idiot|rider|storms|dreams|souls|shelter|design|world|opposite,16,False,False
91,"#91: remember, memory, means",remember|memory|means|forgotten|ago|remembering|distracted|regarded|reading|moments,16,False,False
99,"#99: highstorm, tonight, highstorms",highstorm|tonight|highstorms|attack|thousands|crushed|hunting|happens|shells|regular,15,False,False
101,"#101: decide, pick, spoken",decide|pick|spoken|outside|lead|palace|direction|supposedly|hallway|declared,15,False,False
104,"#104: visions, kings, brother",visions|kings|brother|ago|bit|home|years|died|storms|battlefield,15,False,False
106,"#106: scholars, brightness, gives",scholars|brightness|gives|state|judge|normal|speak|hardly|joining|gasped,15,False,False
111,"#111: backed, fight, hit",backed|fight|hit|fighting|away|cracked|jumped|blow|shardbearer|plate,14,False,False
113,"#113: scratching, thank, gives",scratching|thank|gives|does|awful|explanation|listened|useless|hasn|black,14,False,False
102,"#102: silent, clear, idea",silent|clear|idea|fell|hear|hollow|lights|lack|voices|stunned,14,False,False
112,"#112: shalebark, shell, vines",shalebark|shell|vines|plant|cremlings|trees|growing|ridge|pathway|eating,14,False,False
105,"#105: story, mean, stories",story|mean|stories|means|tell|stuff|imagined|decide|purpose|fit,14,False,False
107,"#107: chasmfiend, spot, support",chasmfiend|spot|support|size|problem|grow|chair|slow|mean|saying,14,False,False
108,"#108: hey, shown, eh",hey|shown|eh|welcome|fair|prepare|visit|perfectly|shall|added,14,False,False
109,"#109: tower, sea, gathered",tower|sea|gathered|ship|echoing|unlike|highstorm|robes|cast|great,14,False,False
114,"#114: sword, blade, learned",sword|blade|learned|weapon|fight|armor|weapons|parts|practicing|forbidden,13,False,False
115,"#115: personal, rubbing, drawn",personal|rubbing|drawn|tower|map|majesty|palace|battle|shattered|wall,13,False,False
103,"#103: gods, form, souls",gods|form|souls|crushed|given|avoid|named|claimed|poor|soul,13,False,False
123,"#123: freedom, purpose, joy",freedom|purpose|joy|given|normal|pleasant|loss|perfectly|angry|fear,12,False,False
118,"#118: glyphs, death, pictures",glyphs|death|pictures|meant|written|book|read|reading|shape|books,12,False,False
124,"#124: shame, happening, money",shame|happening|money|hurt|knees|straight|sphere|shade|game|drained,12,False,False
122,"#122: oh, come, comes",oh|come|comes|close||||||,12,False,False
121,"#121: oh, bound, required",oh|bound|required|losing|reluctantly|words|mark|sounding|sort|angry,12,False,False
119,"#119: excuse, shirt, pocket",excuse|shirt|pocket|encouraged|hunting|forbidden|rare|pleasant|capable|hardly,12,False,False
120,"#120: horse, beast, rocks",horse|beast|rocks|guided|rider|turned|slowed|precious|bite|complete,12,False,False
117,"#117: talked, town, eventually",talked|town|eventually|arguing|frightened|unless|choice|wounds|clean|ranks,12,False,False
116,"#116: hall, feast, room",hall|feast|room|inside|building|danced|cast|grew|floor|stone,12,False,False
129,"#129: arrows, shield, enemy",arrows|shield|enemy|bound|faster|weapon|leg|ranks|slammed|run,11,False,False
131,"#131: rhythm, song, sounded",rhythm|song|sounded|speech|different|voices|tone|claim|perfectly|better,11,False,False
125,"#125: use, better, fabrial",use|better|fabrial|simple|supposedly|working|longer|ardents|return|food,11,False,False
126,"#126: battle, died, war",battle|died|war|heralds|finest|result|warriors|warrior|fighting|holy,11,False,False
127,"#127: highprince, distracted, frightened",highprince|distracted|frightened|met|door|realized|thoughtful|contained|stood|growled,11,False,False
128,"#128: spear, wound, training",spear|wound|training|lighteyed|taken|gone|shallow|alongside|ragged|pile,11,False,False
130,"#130: assassin, stormlight, glowing",assassin|stormlight|glowing|clothing|colored|healed|healing|effort|confident|tossing,10,False,False
132,"#132: lives, save, death",lives|save|death|shapes|fresh|greater|creatures|lived|weight|path,10,False,False
134,"#134: ignore, stuck, oh",ignore|stuck|oh|wall|sure|view|mentioned|twice|fresh|wise,10,False,False
74,"#74: rhythm, songs, beat",rhythm|songs|beat|mother|crowd|hear|peace|old|changed|strong,9,False,False
110,"#110: soldiers, new, specific",soldiers|new|specific|refused|workers|grounds|number|question|gathered|camp,5,False,False
83,"#83: foot, pair, fit",foot|pair|fit|child|slipping|test|judge|properly|lifted|tucked,2,False,False
87,"#87: curse, art, beautiful",curse|art|beautiful|old|servants|cursed|palace|hallway|dreams|crushed,1,False,False
133,"#133: particular, hundreds, scrambled",particular|hundreds|scrambled|alleyway|holy|grin|excellent|difference|skin|groaned,1,False,False
