narr_pos,book,book_short,chapter_order,heading_id,section_type,part_number,pov,heading_text,n_paras,compound_mean,compound_std,pos_mean,neg_mean
140,Words of Radiance,WoR,56,chapter_44,chapter,3.0,Kaladin,Chapter 44: One Form of Justice,232,0.04964,0.43957,0.08083,0.07532
141,Words of Radiance,WoR,57,chapter_45,chapter,3.0,Shallan,Chapter 45: Middlefest,248,0.07569,0.42307,0.0831,0.05796
142,Words of Radiance,WoR,58,chapter_46,chapter,3.0,Kaladin,Chapter 46: Patriots,266,0.0809,0.42616,0.09762,0.07043
143,Words of Radiance,WoR,59,chapter_47,chapter,3.0,Shallan,Chapter 47: Feminine Wiles,116,0.12364,0.38917,0.07894,0.05028
144,Words of Radiance,WoR,60,chapter_48,chapter,3.0,Shallan,Chapter 48: No More Weakness,163,0.06219,0.43167,0.09725,0.0685
145,Words of Radiance,WoR,61,chapter_49,chapter,3.0,Shallan,Chapter 49: Watching the World Transform,232,0.11966,0.43538,0.10789,0.05318
146,Words of Radiance,WoR,62,chapter_50,chapter,3.0,Adolin,Chapter 50: Uncut Gems,93,0.05902,0.41685,0.07059,0.05843
147,Words of Radiance,WoR,63,chapter_51,chapter,3.0,Adolin,Chapter 51: Heirs,94,0.00279,0.44691,0.08015,0.07366
148,Words of Radiance,WoR,64,chapter_52,chapter,3.0,Kaladin,Chapter 52: Into the Sky,296,0.0453,0.39998,0.0778,0.05529
149,Words of Radiance,WoR,65,chapter_53,chapter,3.0,Adolin,Chapter 53: Perfection,114,0.03778,0.42544,0.10523,0.06605
150,Words of Radiance,WoR,66,chapter_54,chapter,3.0,Shallan,Chapter 54: Veil's Lesson,152,0.01357,0.45259,0.07906,0.07027
151,Words of Radiance,WoR,67,chapter_55,chapter,3.0,Kaladin,Chapter 55: The Rules of the Game,257,0.10747,0.42665,0.10974,0.05753
152,Words of Radiance,WoR,68,chapter_56,chapter,3.0,Kaladin,Chapter 56: Whitespine Uncaged,191,-0.00333,0.43208,0.08047,0.07393
153,Words of Radiance,WoR,69,chapter_57,chapter,3.0,Kaladin,Chapter 57: To Kill the Wind,149,-0.14788,0.46669,0.07557,0.11307
154,Words of Radiance,WoR,70,chapter_58,chapter,3.0,Kaladin,Chapter 58: Never Again,84,-0.02905,0.4102,0.0728,0.09482
155,Words of Radiance,WoR,71,interlude_9,interlude,3.0,Lift,Interlude I-9,497,0.00279,0.39871,0.0716,0.08748
156,Words of Radiance,WoR,72,interlude_10,interlude,3.0,Szeth,Interlude I-10,29,-0.21992,0.4946,0.05134,0.18559
157,Words of Radiance,WoR,73,interlude_11,interlude,3.0,Eshonai,Interlude I-11,176,-0.00759,0.45304,0.08863,0.08654
158,Words of Radiance,WoR,75,chapter_59,chapter,4.0,Kaladin,Chapter 59: Fleet,132,0.02468,0.42565,0.07776,0.06702
159,Words of Radiance,WoR,76,chapter_60,chapter,4.0,Shallan,Chapter 60: Veil Walks,104,0.08503,0.40645,0.06388,0.05512
160,Words of Radiance,WoR,77,chapter_61,chapter,4.0,Shallan,Chapter 61: Obedience,73,-0.04439,0.44812,0.0703,0.0947
161,Words of Radiance,WoR,78,chapter_62,chapter,4.0,Kaladin,Chapter 62: The One Who Killed Promises,86,0.02897,0.45842,0.09069,0.08064
162,Words of Radiance,WoR,79,chapter_63,chapter,4.0,Shallan,Chapter 63: A Burning World,202,0.07157,0.37403,0.06727,0.05005
163,Words of Radiance,WoR,80,chapter_64,chapter,4.0,Shallan,Chapter 64: Treasures,64,0.16364,0.4317,0.13311,0.08081
