book,order,section_type,part_number,number,title,heading_id,heading_text,pov,word_count,line_start,line_end
Words of Radiance,3,chapter,1,1,Santhid,chapter_1,Chapter 1: Santhid,Shallan,7916,397,898
Words of Radiance,4,chapter,1,2,Bridge Four,chapter_2,Chapter 2: Bridge Four,Kaladin,5481,899,1238
Words of Radiance,5,chapter,1,3,Pattern,chapter_3,Chapter 3: Pattern,Shallan,2877,1239,1406
Words of Radiance,6,chapter,1,4,Taker of Secrets,chapter_4,Chapter 4: Taker of Secrets,Dalinar,4297,1407,1720
Words of Radiance,7,chapter,1,5,Ideals,chapter_5,Chapter 5: Ideals,Kaladin,8494,1721,2304
Words of Radiance,8,chapter,1,6,Terrible Destruction,chapter_6,Chapter 6: Terrible Destruction,Shallan,4430,2305,2636
Words of Radiance,9,chapter,1,7,Open Flame,chapter_7,Chapter 7: Open Flame,Shallan,2253,2637,2868
Words of Radiance,10,chapter,1,8,Knives in the Back • Soldiers on the Field,chapter_8,Chapter 8: Knives in the Back • Soldiers on the Field,Dalinar,2653,2869,3028
Words of Radiance,11,chapter,1,9,Walking the Grave,chapter_9,Chapter 9: Walking the Grave,Kaladin,3036,3029,3276
Words of Radiance,12,chapter,1,10,Red Carpet Once White,chapter_10,Chapter 10: Red Carpet Once White,Shallan,327,3277,3312
Words of Radiance,13,chapter,1,11,An Illusion of Perception,chapter_11,Chapter 11: An Illusion of Perception,Shallan,4103,3313,3650
Words of Radiance,14,chapter,1,12,Hero,chapter_12,Chapter 12: Hero,Kaladin,4573,3651,4016
Words of Radiance,15,interlude,1,1,,interlude_1,Interlude I-1,Eshonai,3511,4017,4218
Words of Radiance,16,interlude,1,2,,interlude_2,Interlude I-2,Ym,2966,4219,4474
Words of Radiance,17,interlude,1,3,,interlude_3,Interlude I-3,Rysn,7563,4475,5038
Words of Radiance,18,interlude,1,4,,interlude_4,Interlude I-4,Eshonai,4197,5039,5350
Words of Radiance,19,part,2,2,Winds' Approach,part_2,Part Two: Winds' Approach,,0,5351,5352
Words of Radiance,20,chapter,2,13,The Day's Masterpiece,chapter_13,Chapter 13: The Day's Masterpiece,Shallan,2749,5353,5586
Words of Radiance,21,chapter,2,14,Ironstance,chapter_14,Chapter 14: Ironstance,Adolin,2942,5587,5832
Words of Radiance,22,chapter,2,15,A Hand with the Tower,chapter_15,Chapter 15: A Hand with the Tower,Shallan,2267,5833,6000
Words of Radiance,23,chapter,2,16,Swordmaster,chapter_16,Chapter 16: Swordmaster,Kaladin,4483,6001,6342
Words of Radiance,24,chapter,2,17,A Pattern,chapter_17,Chapter 17: A Pattern,Shallan,4854,6343,6728
Words of Radiance,25,chapter,2,18,Bruises,chapter_18,Chapter 18: Bruises,Kaladin,3888,6729,7072
Words of Radiance,26,chapter,2,19,Safe Things,chapter_19,Chapter 19: Safe Things,Shallan,1449,7073,7188
Words of Radiance,27,chapter,2,20,The Coldness of Clarity,chapter_20,Chapter 20: The Coldness of Clarity,Shallan,2887,7189,7406
Words of Radiance,28,chapter,2,21,Ashes,chapter_21,Chapter 21: Ashes,Shallan,2387,7407,7596
Words of Radiance,29,chapter,2,22,Lights in the Storm,chapter_22,Chapter 22: Lights in the Storm,Kaladin,4506,7597,7980
Words of Radiance,30,chapter,2,23,Assassin,chapter_23,Chapter 23: Assassin,Kaladin,1935,7981,8128
Words of Radiance,31,chapter,2,24,Tyn,chapter_24,Chapter 24: Tyn,Shallan,4385,8129,8456
Words of Radiance,32,chapter,2,25,Monsters,chapter_25,Chapter 25: Monsters,Kaladin,4373,8457,8814
Words of Radiance,33,chapter,2,26,The Feather,chapter_26,Chapter 26: The Feather,Adolin,3817,8815,9098
Words of Radiance,34,chapter,2,27,Fabrications to Distract,chapter_27,Chapter 27: Fabrications to Distract,Shallan,866,9099,9162
Words of Radiance,35,chapter,2,28,Boots,chapter_28,Chapter 28: Boots,Shallan,2878,9163,9426
Words of Radiance,36,chapter,2,29,Rule of Blood,chapter_29,Chapter 29: Rule of Blood,Sadeas,3213,9427,9636
Words of Radiance,37,chapter,2,30,Nature Blushing,chapter_30,Chapter 30: Nature Blushing,Shallan,2639,9637,9848
Words of Radiance,38,chapter,2,31,The Stillness Before,chapter_31,Chapter 31: The Stillness Before,Shallan,2313,9849,10054
Words of Radiance,39,chapter,2,32,The One Who Hates,chapter_32,Chapter 32: The One Who Hates,Kaladin,3367,10055,10372
Words of Radiance,40,chapter,2,33,Burdens,chapter_33,Chapter 33: Burdens,Kaladin,2986,10373,10638
Words of Radiance,41,chapter,2,34,Blossoms and Cake,chapter_34,Chapter 34: Blossoms and Cake,Shallan,2816,10639,10870
Words of Radiance,42,interlude,2,5,,interlude_5,Interlude I-5,Eshonai,1379,10871,10958
Words of Radiance,43,interlude,2,6,,interlude_6,Interlude I-6,Zahel,431,10959,11002
Words of Radiance,44,interlude,2,7,,interlude_7,Interlude I-7,Talk,915,11003,11122
Words of Radiance,45,interlude,2,8,,interlude_8,Interlude I-8,Eshonai,604,11123,11168
Words of Radiance,46,part,3,3,Deadly,part_3,Part Three: Deadly,,0,11169,11170
Words of Radiance,47,chapter,3,35,The Multiplied Strain of Simultaneous Infusion,chapter_35,Chapter 35: The Multiplied Strain of Simultaneous Infusion,Adolin,4703,11171,11456
Words of Radiance,48,chapter,3,36,A New Woman,chapter_36,Chapter 36: A New Woman,Shallan,4685,11457,11816
Words of Radiance,49,chapter,3,37,A Matter of Perspective,chapter_37,Chapter 37: A Matter of Perspective,Adolin,2673,11817,12010
Words of Radiance,50,chapter,3,38,The Silent Storm,chapter_38,Chapter 38: The Silent Storm,Shallan,5446,12011,12380
Words of Radiance,51,chapter,3,39,Heterochromatic,chapter_39,Chapter 39: Heterochromatic,Shallan,3022,12381,12620
Words of Radiance,52,chapter,3,40,Palona,chapter_40,Chapter 40: Palona,Shallan,2179,12621,12802
Words of Radiance,53,chapter,3,41,Scars,chapter_41,Chapter 41: Scars,Kaladin,5624,12803,13324
Words of Radiance,54,chapter,3,42,Mere Vapors,chapter_42,Chapter 42: Mere Vapors,Shallan,2509,13325,13504
Words of Radiance,55,chapter,3,43,The Ghostbloods,chapter_43,Chapter 43: The Ghostbloods,Shallan,5461,13505,13818
Words of Radiance,56,chapter,3,44,One Form of Justice,chapter_44,Chapter 44: One Form of Justice,Kaladin,5591,13819,14288
Words of Radiance,57,chapter,3,45,Middlefest,chapter_45,Chapter 45: Middlefest,Shallan,6680,14289,14786
Words of Radiance,58,chapter,3,46,Patriots,chapter_46,Chapter 46: Patriots,Kaladin,6708,14787,15324
Words of Radiance,59,chapter,3,47,Feminine Wiles,chapter_47,Chapter 47: Feminine Wiles,Shallan,3631,15325,15562
Words of Radiance,60,chapter,3,48,No More Weakness,chapter_48,Chapter 48: No More Weakness,Shallan,3341,15563,15890
Words of Radiance,61,chapter,3,49,Watching the World Transform,chapter_49,Chapter 49: Watching the World Transform,Shallan,6331,15891,16360
Words of Radiance,62,chapter,3,50,Uncut Gems,chapter_50,Chapter 50: Uncut Gems,Adolin,2864,16361,16554
Words of Radiance,63,chapter,3,51,Heirs,chapter_51,Chapter 51: Heirs,Adolin,2814,16555,16750
Words of Radiance,64,chapter,3,52,Into the Sky,chapter_52,Chapter 52: Into the Sky,Kaladin,7987,16751,17368
Words of Radiance,65,chapter,3,53,Perfection,chapter_53,Chapter 53: Perfection,Adolin,2317,17369,17602
Words of Radiance,66,chapter,3,54,Veil's Lesson,chapter_54,Chapter 54: Veil's Lesson,Shallan,4428,17603,17912
Words of Radiance,67,chapter,3,55,The Rules of the Game,chapter_55,Chapter 55: The Rules of the Game,Kaladin,6193,17913,18432
Words of Radiance,68,chapter,3,56,Whitespine Uncaged,chapter_56,Chapter 56: Whitespine Uncaged,Kaladin,4993,18433,18832
Words of Radiance,69,chapter,3,57,To Kill the Wind,chapter_57,Chapter 57: To Kill the Wind,Kaladin,3854,18833,19138
Words of Radiance,70,chapter,3,58,Never Again,chapter_58,Chapter 58: Never Again,Kaladin,1707,19139,19318
Words of Radiance,71,interlude,3,9,,interlude_9,Interlude I-9,Lift,10612,19319,20314
Words of Radiance,72,interlude,3,10,,interlude_10,Interlude I-10,Szeth,770,20315,20374
Words of Radiance,73,interlude,3,11,,interlude_11,Interlude I-11,Eshonai,4780,20375,20728
Words of Radiance,74,part,4,4,The Approach,part_4,Part Four: The Approach,,0,20729,20730
Words of Radiance,75,chapter,4,59,Fleet,chapter_59,Chapter 59: Fleet,Kaladin,2817,20731,20998
Words of Radiance,76,chapter,4,60,Veil Walks,chapter_60,Chapter 60: Veil Walks,Shallan,3168,20999,21210
Words of Radiance,77,chapter,4,61,Obedience,chapter_61,Chapter 61: Obedience,Shallan,1862,21211,21360
Words of Radiance,78,chapter,4,62,The One Who Killed Promises,chapter_62,Chapter 62: The One Who Killed Promises,Kaladin,2162,21361,21538
Words of Radiance,79,chapter,4,63,A Burning World,chapter_63,Chapter 63: A Burning World,Shallan,5536,21539,21950
Words of Radiance,80,chapter,4,64,Treasures,chapter_64,Chapter 64: Treasures,Shallan,1682,21951,22084
Words of Radiance,81,chapter,4,65,The One Who Deserves It,chapter_65,Chapter 65: The One Who Deserves It,Shallan,1818,22085,22212
